customer_id,first_name,last_name,email,phone,city,state,postal_code,country,acquisition_channel,created_at
1,Katherine,Anderson,katherine.anderson410@outlook.com,+1-450-428-3286,Houston,TX,77001,United States,Meta Ads,2025-11-24 07:25:57+00
2,Anna,Lopez,anna.lopez9675@icloud.com,+1-232-230-2535,San Antonio,TX,78201,United States,Organic Search,2025-04-12 22:26:33+00
3,Patricia,Bailey,patricia.bailey3258@proton.me,+1-629-425-8359,Minneapolis,MN,55401,United States,Organic Search,2025-11-06 12:55:57+00
4,James,Lee,james.lee6925@outlook.com,+1-484-359-4527,San Jose,CA,95101,United States,Organic Search,2024-10-22 10:21:29+00
5,Richard,Rivera,richard.rivera5636@proton.me,+1-470-244-8527,Portland,OR,97201,United States,Organic Search,2024-10-21 08:23:32+00
6,William,Peterson,william.peterson4804@proton.me,+1-570-791-4150,Chicago,IL,60601,United States,Organic Search,2024-06-26 08:19:54+00
7,Donna,Hernandez,donna.hernandez3815@gmail.com,+1-589-484-8428,Seattle,WA,98101,United States,Organic Search,2024-10-03 06:43:33+00
8,Anthony,Wright,anthony.wright1170@proton.me,+1-850-375-9751,San Diego,CA,92101,United States,Organic Search,2024-10-22 01:33:43+00
9,Paul,Bailey,paul.bailey3599@outlook.com,+1-986-994-1916,San Diego,CA,92101,United States,Direct,2025-09-17 15:08:29+00
10,Kenneth,Phillips,kenneth.phillips4387@gmail.com,+1-416-780-6155,San Antonio,TX,78201,United States,Meta Ads,2024-11-03 15:06:47+00
11,Samuel,Collins,samuel.collins2341@outlook.com,+1-342-452-9830,Dallas,TX,75201,United States,Email Campaign,2024-11-29 02:35:07+00
12,Justin,Phillips,justin.phillips5931@yahoo.com,+1-341-721-9085,Chicago,IL,60601,United States,Email Campaign,2025-10-31 04:07:18+00
13,Joseph,Martin,joseph.martin2622@icloud.com,+1-810-265-7304,Denver,CO,80201,United States,Meta Ads,2024-12-29 21:04:56+00
14,Helen,Allen,helen.allen9065@gmail.com,+1-896-938-2876,Portland,OR,97201,United States,Email Campaign,2025-08-20 07:43:07+00
15,Samuel,Baker,samuel.baker1828@outlook.com,+1-645-361-8433,New York,NY,10001,United States,Affiliate,2025-11-11 15:04:55+00
16,Raymond,King,raymond.king8202@yahoo.com,+1-719-308-5889,Nashville,TN,37201,United States,Meta Ads,2024-04-29 01:07:49+00
17,Deborah,Lee,deborah.lee8838@proton.me,+1-200-813-6310,Miami,FL,33101,United States,Organic Search,2024-10-09 06:27:06+00
18,Michelle,Walker,michelle.walker950@yahoo.com,+1-780-280-2403,Miami,FL,33101,United States,Email Campaign,2025-08-14 02:39:07+00
19,Jonathan,Taylor,jonathan.taylor2104@icloud.com,+1-762-369-5342,Nashville,TN,37201,United States,Direct,2024-11-24 23:51:46+00
20,Margaret,Cooper,margaret.cooper3296@outlook.com,+1-608-887-7118,Atlanta,GA,30301,United States,Direct,2024-12-17 00:18:42+00
